neighbourhood_group_cleansed,neighbourhood_cleansed,property_type,room_type,bedrooms,bathrooms,guests_included,price,lnprice
Brooklyn,Brownsville,Apartment,Shared room,1,1.5,2,50,3.912023005428146
Manhattan,Theater District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Theater District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Theater District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Theater District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Theater District,Condominium,Private room,1,2,1,125,4.8283137373023015
Brooklyn,Bushwick,Apartment,Entire home/apt,1,1,1,90,4.499809670330265
Brooklyn,East New York,Apartment,Entire home/apt,1,1,2,120,4.787491742782046
Brooklyn,East New York,Apartment,Entire home/apt,1,1,2,110,4.700480365792417
Manhattan,Washington Heights,Apartment,Entire home/apt,1,1,1,130,4.867534450455582
Manhattan,Upper East Side,Apartment,Entire home/apt,0,1,1,100,4.605170185988092
Brooklyn,Bushwick,Apartment,Private room,1,1,1,100,4.605170185988092
Queens,Flushing,House,Entire home/apt,4,1,6,250,5.521460917862246
Brooklyn,Prospect-Lefferts Gardens,Apartment,Private room,1,1,1,55,4.007333185232471
Queens,Astoria,Apartment,Entire home/apt,1,1,2,121,4.795790545596741
Queens,Astoria,Apartment,Entire home/apt,2,1,1,125,4.8283137373023015
Queens,Sunnyside,Townhouse,Private room,1,2,1,57,4.04305126783455
Manhattan,Upper East Side,Apartment,Entire home/apt,1,1,1,150,5.0106352940962555
Manhattan,Lower East Side,Apartment,Private room,1,1,1,90,4.499809670330265
Brooklyn,Clinton Hill,Apartment,Entire home/apt,1,1,2,88,4.477336814478207
Queens,Sunnyside,Townhouse,Private room,1,2,1,48,3.871201010907891
Brooklyn,Bushwick,Apartment,Entire home/apt,4,2,1,163,5.093750200806762
Queens,Sunnyside,Townhouse,Private room,1,2,1,41,3.713572066704308
Brooklyn,Bushwick,Apartment,Entire home/apt,4,2,1,170,5.135798437050262
Manhattan,Harlem,Apartment,Entire home/apt,0,1,1,100,4.605170185988092
Manhattan,Little Italy,Apartment,Entire home/apt,4,1,1,195,5.272999558563747
Brooklyn,Crown Heights,Apartment,Entire home/apt,1,1,1,71,4.2626798770413155
Manhattan,Chelsea,Apartment,Entire home/apt,1,1,1,190,5.247024072160486
Queens,Bayswater,House,Private room,2,1,1,150,5.0106352940962555
Manhattan,East Village,Apartment,Private room,1,1,1,75,4.31748811353631
Brooklyn,Bushwick,Apartment,Shared room,1,1.5,1,23,3.1354942159291497
Manhattan,East Harlem,Apartment,Private room,1,1.5,1,44,3.784189633918261
Manhattan,East Village,Apartment,Private room,1,2,1,35,3.5553480614894135
Brooklyn,East Flatbush,Apartment,Private room,1,1,2,61,4.110873864173311
Manhattan,Midtown,Apartment,Entire home/apt,2,1,1,100,4.605170185988092
Brooklyn,Bushwick,Loft,Private room,1,1,1,44,3.784189633918261
Manhattan,Harlem,Apartment,Entire home/apt,0,1,1,87,4.465908118654584
Brooklyn,Flatbush,House,Private room,1,1,1,38,3.6375861597263857
Queens,Astoria,Apartment,Entire home/apt,1,1,2,125,4.8283137373023015
Manhattan,Midtown,Apartment,Entire home/apt,0,1,4,110,4.700480365792417
Brooklyn,Williamsburg,Apartment,Private room,1,1,1,60,4.0943445622221
Manhattan,Hell's Kitchen,Apartment,Entire home/apt,0,1,1,75,4.31748811353631
Manhattan,Midtown,Apartment,Entire home/apt,0,1,4,110,4.700480365792417
Brooklyn,Flatlands,Apartment,Private room,1,1,1,44,3.784189633918261
Manhattan,Roosevelt Island,Apartment,Entire home/apt,2,2,1,151,5.017279836814924
Manhattan,East Harlem,Apartment,Private room,1,1,1,50,3.912023005428146
Manhattan,Harlem,Apartment,Entire home/apt,4,3.5,1,250,5.521460917862246
Manhattan,Kips Bay,Apartment,Entire home/apt,1,1,1,125,4.8283137373023015
Manhattan,East Village,Apartment,Entire home/apt,0,1,1,90,4.499809670330265
Brooklyn,Flatlands,Apartment,Private room,1,1,1,44,3.784189633918261
Manhattan,Murray Hill,Apartment,Entire home/apt,1,1,1,123,4.812184355372417
Manhattan,Upper West Side,Apartment,Private room,1,2,1,100,4.605170185988092
Brooklyn,Prospect-Lefferts Gardens,Apartment,Private room,1,1,1,36,3.58351893845611
Manhattan,Harlem,Apartment,Private room,1,2,1,49,3.8918202981106265
Manhattan,Harlem,Apartment,Private room,1,2,1,59,4.07753744390572
Manhattan,Chinatown,Apartment,Entire home/apt,1,1,1,150,5.0106352940962555
Manhattan,Hell's Kitchen,Apartment,Entire home/apt,0,1,1,133,4.890349128221754
Manhattan,Midtown,Apartment,Entire home/apt,1,1,4,280,5.634789603169249
Manhattan,Chinatown,Apartment,Entire home/apt,5,2,1,249,5.517452896464707
Manhattan,Kips Bay,Apartment,Private room,1,1,1,77,4.343805421853684
Brooklyn,Bedford-Stuyvesant,Apartment,Private room,1,1.5,1,39,3.6635616461296463
Queens,St. Albans,House,Entire home/apt,4,1.5,1,225,5.41610040220442
Manhattan,SoHo,Apartment,Entire home/apt,2,1,4,225,5.41610040220442
Brooklyn,East Flatbush,Apartment,Private room,1,1,2,61,4.110873864173311
Manhattan,Midtown,Apartment,Entire home/apt,1,1,1,150,5.0106352940962555
Brooklyn,East Flatbush,Apartment,Private room,1,1,2,61,4.110873864173311
Brooklyn,East Flatbush,Apartment,Private room,1,1,2,65,4.174387269895637
Brooklyn,East New York,Guest suite,Entire home/apt,3,1,1,60,4.0943445622221
Brooklyn,Kensington,Apartment,Entire home/apt,3,2,6,250,5.521460917862246
Manhattan,Upper West Side,Apartment,Entire home/apt,1,1,1,135,4.90527477843843
Manhattan,Upper West Side,Apartment,Entire home/apt,0,1,1,100,4.605170185988092
Brooklyn,Bedford-Stuyvesant,Apartment,Entire home/apt,1,1,1,171,5.14166355650266
Brooklyn,East Flatbush,Apartment,Private room,1,1,1,42,3.7376696182833684
Brooklyn,East Flatbush,Apartment,Private room,1,1,1,42,3.7376696182833684
Manhattan,Harlem,Apartment,Entire home/apt,0,1,1,85,4.442651256490317
Brooklyn,East Flatbush,Apartment,Private room,1,1,1,40,3.6888794541139363
Manhattan,Hell's Kitchen,Condominium,Entire home/apt,3,2,1,500,6.214608098422191
Queens,Forest Hills,Apartment,Entire home/apt,0,1,1,85,4.442651256490317
Manhattan,Harlem,Apartment,Entire home/apt,1,1,1,40,3.6888794541139363
Manhattan,Hell's Kitchen,Apartment,Private room,1,1,1,100,4.605170185988092
Manhattan,Hell's Kitchen,Apartment,Private room,1,1,1,91,4.51085950651685
Manhattan,SoHo,Loft,Private room,1,1,1,99,4.59511985013459
Brooklyn,Gowanus,Apartment,Private room,1,1,1,55,4.007333185232471
Manhattan,Midtown,Apartment,Entire home/apt,0,1,6,45,3.8066624897703196
Brooklyn,Cobble Hill,Apartment,Private room,1,1,1,72,4.276666119016055
Manhattan,Upper East Side,Apartment,Entire home/apt,4,1,6,195,5.272999558563747
Manhattan,Lower East Side,Loft,Private room,1,1,1,60,4.0943445622221
Manhattan,East Village,Apartment,Private room,1,2,1,30,3.4011973816621555
Manhattan,Upper West Side,Apartment,Entire home/apt,2,1.5,1,120,4.787491742782046
Manhattan,Upper West Side,Apartment,Private room,1,1,1,55,4.007333185232471
Brooklyn,East Flatbush,House,Entire home/apt,2,1,1,200,5.298317366548036
Manhattan,Upper West Side,Apartment,Shared room,1,1,1,100,4.605170185988092
Brooklyn,Flatlands,House,Entire home/apt,2,1,1,215,5.3706380281276624
Brooklyn,Bedford-Stuyvesant,Apartment,Entire home/apt,0,1,1,90,4.499809670330265
Brooklyn,Williamsburg,Apartment,Entire home/apt,5,1,1,100,4.605170185988092
Bronx,Tremont,Apartment,Private room,0,1,1,37,3.6109179126442243
Manhattan,Harlem,Apartment,Entire home/apt,2,1.5,1,121,4.795790545596741
Brooklyn,Fort Greene,Apartment,Private room,1,1,1,40,3.6888794541139363
Manhattan,East Village,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,East Village,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Theater District,Apartment,Entire home/apt,1,1,1,249,5.517452896464707
Manhattan,Theater District,Apartment,Entire home/apt,1,1,1,249,5.517452896464707
Queens,Woodside,Townhouse,Private room,1,1,1,46,3.828641396489095
Manhattan,Upper East Side,Apartment,Entire home/apt,1,1,1,79,4.3694478524670215
Staten Island,Tompkinsville,Apartment,Entire home/apt,1,1,1,70,4.248495242049359
Brooklyn,Bedford-Stuyvesant,Apartment,Private room,1,0,2,70,4.248495242049359
Manhattan,Harlem,Apartment,Private room,1,1.5,1,58,4.060443010546419
Brooklyn,Greenpoint,Apartment,Private room,1,1.5,1,40,3.6888794541139363
Brooklyn,Crown Heights,Apartment,Private room,1,1,1,43,3.7612001156935624
Brooklyn,Bedford-Stuyvesant,Apartment,Entire home/apt,2,1,1,101,4.61512051684126
Manhattan,Chelsea,Apartment,Entire home/apt,0,1,1,150,5.0106352940962555
Manhattan,Lower East Side,Apartment,Entire home/apt,1,1,1,179,5.187385805840755
Brooklyn,Prospect-Lefferts Gardens,Apartment,Entire home/apt,1,1,1,100,4.605170185988092
Manhattan,Harlem,Apartment,Private room,1,3,1,115,4.74493212836325
Manhattan,Harlem,Apartment,Private room,1,3,1,95,4.553876891600541
Manhattan,Harlem,Apartment,Private room,1,3,1,95,4.553876891600541
Manhattan,Harlem,Apartment,Private room,1,3,1,95,4.553876891600541
Manhattan,Harlem,Apartment,Private room,1,3,1,95,4.553876891600541
Manhattan,East Village,Apartment,Private room,1,1,1,81,4.394449154672439
Brooklyn,Bushwick,Apartment,Entire home/apt,1,1,2,78,4.356708826689592
Bronx,Longwood,Apartment,Private room,2,1,1,90,4.499809670330265
Brooklyn,Carroll Gardens,Townhouse,Entire home/apt,3,2.5,1,350,5.857933154483459
Manhattan,Upper East Side,Apartment,Private room,1,1,2,169,5.1298987149230735
Manhattan,Upper East Side,Apartment,Private room,1,1,2,169,5.1298987149230735
Manhattan,Washington Heights,Apartment,Private room,1,2,1,95,4.553876891600541
Manhattan,Upper East Side,Apartment,Entire home/apt,1,1,1,133,4.890349128221754
Manhattan,Washington Heights,Apartment,Private room,1,2.5,1,95,4.553876891600541
Manhattan,Upper East Side,Apartment,Private room,2,1,2,80,4.382026634673881
Manhattan,West Village,Apartment,Entire home/apt,4,1,4,193,5.262690188904886
Manhattan,Midtown,Condominium,Entire home/apt,2,1,1,200,5.298317366548036
Manhattan,Hell's Kitchen,Apartment,Private room,1,1,1,150,5.0106352940962555
Queens,Long Island City,Condominium,Entire home/apt,1,1,1,99,4.59511985013459
Brooklyn,Williamsburg,Serviced apartment,Private room,1,2,1,48,3.871201010907891
Manhattan,Chelsea,Apartment,Shared room,1,1,1,55,4.007333185232471
Brooklyn,Gowanus,Apartment,Private room,1,1,1,34,3.5263605246161616
Brooklyn,Bushwick,Apartment,Private room,1,1,1,40,3.6888794541139363
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Brooklyn,Bushwick,Apartment,Private room,1,1,1,40,3.6888794541139363
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Brooklyn,Bedford-Stuyvesant,Apartment,Entire home/apt,3,1,1,124,4.820281565605037
Queens,Kew Gardens,Condominium,Entire home/apt,1,1.5,1,225,5.41610040220442
Bronx,Williamsbridge,House,Private room,1,2,1,30,3.4011973816621555
Brooklyn,Bedford-Stuyvesant,Apartment,Entire home/apt,2,1,1,199,5.293304824724492
Queens,Woodhaven,Guest suite,Private room,0,1,2,51,3.9318256327243257
Bronx,Hunts Point,Apartment,Entire home/apt,2,1,1,60,4.0943445622221
Brooklyn,Bushwick,Apartment,Entire home/apt,1,1,1,50,3.912023005428146
Queens,Long Island City,Apartment,Entire home/apt,1,1,2,158,5.062595033026967
Manhattan,Murray Hill,Apartment,Entire home/apt,2,2,1,275,5.616771097666572
Manhattan,Hell's Kitchen,Apartment,Entire home/apt,2,1,1,200,5.298317366548036
Manhattan,Upper East Side,Apartment,Entire home/apt,3,1,1,225,5.41610040220442
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,East Village,Apartment,Entire home/apt,3,2,3,375,5.926926025970411
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Harlem,Apartment,Entire home/apt,2,1,1,99,4.59511985013459
Brooklyn,Bedford-Stuyvesant,Apartment,Entire home/apt,1,1,1,90,4.499809670330265
Manhattan,West Village,Apartment,Entire home/apt,1,1,1,160,5.075173815233827
Manhattan,Hell's Kitchen,Apartment,Entire home/apt,1,1,2,269,5.594711379601839
Brooklyn,Williamsburg,Apartment,Entire home/apt,1,1.5,1,130,4.867534450455582
Brooklyn,Bedford-Stuyvesant,Apartment,Entire home/apt,1,1,2,145,4.976733742420574
Manhattan,Hell's Kitchen,Apartment,Entire home/apt,0,1,1,121,4.795790545596741
Brooklyn,Bushwick,Apartment,Private room,3,2,1,88,4.477336814478207
Manhattan,Upper West Side,Apartment,Entire home/apt,2,1,2,120,4.787491742782046
Manhattan,Chinatown,Apartment,Private room,1,1,1,59,4.07753744390572
Bronx,Pelham Gardens,House,Private room,1,1,1,60,4.0943445622221
Manhattan,Chinatown,Apartment,Private room,1,1,1,59,4.07753744390572
Manhattan,Chinatown,Apartment,Private room,1,1,1,59,4.07753744390572
Manhattan,Harlem,Apartment,Private room,1,1,1,27,3.295836866004329
Manhattan,Midtown,Apartment,Private room,2,1,1,185,5.220355825078324
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Manhattan,Financial District,Condominium,Private room,1,2,1,125,4.8283137373023015
Brooklyn,Fort Greene,Apartment,Entire home/apt,1,1,1,145,4.976733742420574
Manhattan,Chelsea,Apartment,Entire home/apt,2,2,1,245,5.501258210544727
Brooklyn,East Flatbush,Apartment,Entire home/apt,3,1.5,1,200,5.298317366548036
Manhattan,Greenwich Village,Apartment,Shared room,1,1,1,159,5.0689042022202315
Manhattan,Greenwich Village,Apartment,Entire home/apt,0,1,1,139,4.9344739331306915
Manhattan,Chelsea,Apartment,Private room,1,1,1,65,4.174387269895637
Bronx,Morris Heights,Apartment,Private room,1,1,1,45,3.8066624897703196
Brooklyn,Bedford-Stuyvesant,Townhouse,Private room,1,1,1,35,3.5553480614894135
Manhattan,Financial District,Condominium,Private room,1,1,1,60,4.0943445622221
Manhattan,Financial District,Condominium,Private room,1,1,1,60,4.0943445622221
Manhattan,Financial District,Condominium,Private room,1,1,1,70,4.248495242049359
Manhattan,Financial District,Condominium,Private room,1,1,1,70,4.248495242049359
Manhattan,Battery Park City,Condominium,Private room,1,1,1,68,4.219507705176107
Manhattan,Financial District,Condominium,Private room,1,1,1,64,4.1588830833596715
Manhattan,Financial District,Condominium,Private room,1,1,1,85,4.442651256490317
Manhattan,Financial District,Condominium,Private room,1,1,1,67,4.204692619390966
Manhattan,Financial District,Condominium,Private room,1,1,1,60,4.0943445622221
Manhattan,Hell's Kitchen,Apartment,Entire home/apt,1,1,1,100,4.605170185988092
Manhattan,Stuyvesant Town,Apartment,Private room,1,1,1,60,4.0943445622221
Manhattan,Upper East Side,Condominium,Private room,1,1,1,225,5.41610040220442
Bronx,Parkchester,Condominium,Private room,1,1,1,75,4.31748811353631
Brooklyn,Bay Ridge,Apartment,Entire home/apt,2,1,1,89,4.48863636973214
Manhattan,West Village,Apartment,Entire home/apt,1,1,1,159,5.0689042022202315
Bronx,Parkchester,Condominium,Private room,1,1,1,74,4.30406509320417
Manhattan,Midtown,Apartment,Entire home/apt,0,1,1,130,4.867534450455582
Manhattan,Harlem,Apartment,Entire home/apt,1,1,1,95,4.553876891600541
Manhattan,Kips Bay,Apartment,Entire home/apt,2,1,1,350,5.857933154483459
Manhattan,SoHo,Loft,Entire home/apt,2,2,1,330,5.799092654460526
Manhattan,Harlem,Apartment,Private room,1,1,1,42,3.7376696182833684
Manhattan,Washington Heights,Apartment,Private room,1,1,1,50,3.912023005428146
Manhattan,Harlem,Apartment,Entire home/apt,3,1,1,110,4.700480365792417
Manhattan,Theater District,Apartment,Private room,1,1,1,40,3.6888794541139363
Brooklyn,Bushwick,Apartment,Entire home/apt,2,2,4,119,4.77912349311153
Brooklyn,Bushwick,Apartment,Entire home/apt,3,1,1,100,4.605170185988092
Queens,Ditmars Steinway,Apartment,Entire home/apt,2,1,2,145,4.976733742420574
Bronx,Williamsbridge,House,Private room,2,1.5,1,250,5.521460917862246
Manhattan,East Village,Condominium,Private room,1,2,1,75,4.31748811353631
Manhattan,East Village,Condominium,Private room,1,2,1,65,4.174387269895637
Manhattan,East Village,Condominium,Private room,1,2,1,56,4.02535169073515
Staten Island,Great Kills,House,Entire home/apt,0,1,1,71,4.2626798770413155
Manhattan,East Village,Condominium,Private room,1,2,1,56,4.02535169073515
Manhattan,East Village,Condominium,Private room,1,2,1,65,4.174387269895637
Manhattan,Upper West Side,Apartment,Private room,1,3,1,48,3.871201010907891
Queens,Rockaway Beach,Apartment,Private room,3,2,1,100,4.605170185988092
Manhattan,Upper West Side,Apartment,Private room,1,3,1,79,4.3694478524670215
Manhattan,Financial District,Apartment,Entire home/apt,1,1,1,120,4.787491742782046
Manhattan,Kips Bay,Apartment,Entire home/apt,1,1,2,99,4.59511985013459
Brooklyn,Bushwick,Apartment,Entire home/apt,2,2,1,170,5.135798437050262
Queens,Laurelton,House,Private room,1,1,1,50,3.912023005428146
Brooklyn,Bushwick,Apartment,Entire home/apt,0,1,1,125,4.8283137373023015
Brooklyn,Williamsburg,Apartment,Private room,1,1,1,45,3.8066624897703196
Brooklyn,East New York,House,Entire home/apt,3,1,5,150,5.0106352940962555
Brooklyn,Sunset Park,House,Private room,1,1,1,39,3.6635616461296463
Brooklyn,East New York,House,Entire home/apt,3,2,1,200,5.298317366548036
Manhattan,Midtown,House,Entire home/apt,2,3,1,179,5.187385805840755
Manhattan,Hell's Kitchen,Condominium,Entire home/apt,1,2,1,210,5.3471075307174685
Queens,Ditmars Steinway,Apartment,Entire home/apt,2,1,2,150,5.0106352940962555
Queens,Sunnyside,Apartment,Entire home/apt,2,1,1,100,4.605170185988092
Brooklyn,Bedford-Stuyvesant,Apartment,Entire home/apt,2,1,1,175,5.1647859739235145
Manhattan,Chelsea,Apartment,Entire home/apt,1,1,1,90,4.499809670330265
Manhattan,East Village,Apartment,Entire home/apt,1,1,1,90,4.499809670330265
Brooklyn,Bushwick,Apartment,Entire home/apt,1,1,1,320,5.768320995793772
Brooklyn,Bushwick,Apartment,Entire home/apt,1,1,1,98,4.584967478670572
Manhattan,Little Italy,Boutique hotel,Private room,0,1,1,150,5.0106352940962555
Manhattan,Upper West Side,Apartment,Entire home/apt,3,1,1,300,5.703782474656201
Manhattan,Upper West Side,Apartment,Entire home/apt,2,1,1,275,5.616771097666572
Brooklyn,Williamsburg,Apartment,Private room,1,2,1,59,4.07753744390572
Manhattan,Hell's Kitchen,Apartment,Entire home/apt,2,2,2,99,4.59511985013459
Manhattan,Upper West Side,Condominium,Entire home/apt,1,1,1,132,4.882801922586371
Brooklyn,Downtown Brooklyn,Boutique hotel,Private room,1,1,1,270,5.598421958998375
Manhattan,West Village,Apartment,Entire home/apt,1,1,1,130,4.867534450455582
Brooklyn,Bedford-Stuyvesant,House,Private room,1,2,1,75,4.31748811353631
Brooklyn,Gowanus,Apartment,Private room,1,1,1,55,4.007333185232471
Brooklyn,Gowanus,Apartment,Private room,1,1,1,55,4.007333185232471
Brooklyn,Gowanus,Apartment,Private room,1,1,1,55,4.007333185232471
Brooklyn,Gowanus,Apartment,Private room,1,1,1,55,4.007333185232471
Brooklyn,Gowanus,Apartment,Private room,1,1,1,55,4.007333185232471
Brooklyn,Gowanus,Apartment,Private room,1,1,1,55,4.007333185232471
Brooklyn,Gowanus,Apartment,Private room,1,1,1,55,4.007333185232471
